Status,Part Name,Serial Number,Project Name,Details,Opened By,Approval Requested From,Approved,Approved By,Approval Date,Received Date,Received State,Ordered By,Date Ordered,Company,Inventory Synced,Maintenance Component,Maintenance Task,Maintenance Task ID,Wait ID
Opened,NET-SMOKE-PART-2,NS-2,Network Smoke Project 203603,Smoke order 2,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-1,NS-1,Network Smoke Project 203603,Smoke order 1,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-3,NS-3,Network Smoke Project 203603,Smoke order 3,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-5,NS-5,Network Smoke Project 203603,Smoke order 5,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-0,NS-0,Network Smoke Project 203603,Smoke order 0,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-4,NS-4,Network Smoke Project 203603,Smoke order 4,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-3,NS-3,Network Smoke Project 204843,Smoke order 3,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-4,NS-4,Network Smoke Project 204843,Smoke order 4,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-0,NS-0,Network Smoke Project 204843,Smoke order 0,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-1,NS-1,Network Smoke Project 204843,Smoke order 1,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-5,NS-5,Network Smoke Project 204843,Smoke order 5,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-2,NS-2,Network Smoke Project 204843,Smoke order 2,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-1,NS-1,Network Smoke Project 210123,Smoke order 1,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-4,NS-4,Network Smoke Project 210123,Smoke order 4,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-5,NS-5,Network Smoke Project 210123,Smoke order 5,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-0,NS-0,Network Smoke Project 210123,Smoke order 0,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-3,NS-3,Network Smoke Project 210123,Smoke order 3,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-2,NS-2,Network Smoke Project 210123,Smoke order 2,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-2,NS-2,Network Smoke Project 220329,Smoke order 2,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-0,NS-0,Network Smoke Project 220329,Smoke order 0,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-1,NS-1,Network Smoke Project 220329,Smoke order 1,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-5,NS-5,Network Smoke Project 220329,Smoke order 5,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-4,NS-4,Network Smoke Project 220329,Smoke order 4,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-3,NS-3,Network Smoke Project 220329,Smoke order 3,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-0,NS-0,Network Smoke Project 003054,Smoke order 0,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-1,NS-1,Network Smoke Project 003054,Smoke order 1,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-2,NS-2,Network Smoke Project 003054,Smoke order 2,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-4,NS-4,Network Smoke Project 003054,Smoke order 4,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-5,NS-5,Network Smoke Project 003054,Smoke order 5,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-3,NS-3,Network Smoke Project 003054,Smoke order 3,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-1,NS-1,Network Smoke Project 132116,Smoke order 1,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-2,NS-2,Network Smoke Project 132116,Smoke order 2,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-0,NS-0,Network Smoke Project 132116,Smoke order 0,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-3,NS-3,Network Smoke Project 132116,Smoke order 3,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-5,NS-5,Network Smoke Project 132116,Smoke order 5,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-4,NS-4,Network Smoke Project 132116,Smoke order 4,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,FLOWP4355 Grease,,Maintenance,Maintenance hold: General — Weekly full flow 20260528134355 (Task ID: G-MNT-002).,rebuild,,No,,,,,,,,,General,Weekly full flow 20260528134355,G-MNT-002,
Opened,FLOWP4355 Wipe,,Maintenance,Maintenance hold: General — Weekly full flow 20260528134355 (Task ID: G-MNT-002).,rebuild,,No,,,,,,,,,General,Weekly full flow 20260528134355,G-MNT-002,
Received,FLOWP1555 Grease,,Maintenance,Maintenance hold: General — Weekly full flow 20260528141555 (Task ID: G-MNT-003).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,General,Weekly full flow 20260528141555,G-MNT-003,
Received,FLOWP1555 Wipe,,Maintenance,Maintenance hold: General — Weekly full flow 20260528141555 (Task ID: G-MNT-003).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,General,Weekly full flow 20260528141555,G-MNT-003,
Received,FLOWP2423 Grease,,Maintenance,Maintenance hold: General — Weekly full flow 20260528142423 (Task ID: G-MNT-004).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,General,Weekly full flow 20260528142423,G-MNT-004,
Received,FLOWP2423 Wipe,,Maintenance,Maintenance hold: General — Weekly full flow 20260528142423 (Task ID: G-MNT-004).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,General,Weekly full flow 20260528142423,G-MNT-004,
Received,FLOWP2936 Grease,,Maintenance,Maintenance hold: General — Weekly full flow 20260528142936 (Task ID: G-MNT-005).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,General,Weekly full flow 20260528142936,G-MNT-005,
Received,FLOWP2936 Wipe,,Maintenance,Maintenance hold: General — Weekly full flow 20260528142936 (Task ID: G-MNT-005).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,General,Weekly full flow 20260528142936,G-MNT-005,
Received,FLOWP4725 Grease,,Maintenance,Maintenance hold: Full Flow Rig — Weekly full flow 20260528144725 (Task ID: FFR-MNT-001).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,Full Flow Rig,Weekly full flow 20260528144725,FFR-MNT-001,
Received,FLOWP4725 Wipe,,Maintenance,Maintenance hold: Full Flow Rig — Weekly full flow 20260528144725 (Task ID: FFR-MNT-001).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,Full Flow Rig,Weekly full flow 20260528144725,FFR-MNT-001,
Received,FLOWP0023 Grease,,Maintenance,Maintenance hold: Full Flow Rig — Weekly full flow 20260528150023 (Task ID: FFR-MNT-002).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,Full Flow Rig,Weekly full flow 20260528150023,FFR-MNT-002,
Received,FLOWP0023 Wipe,,Maintenance,Maintenance hold: Full Flow Rig — Weekly full flow 20260528150023 (Task ID: FFR-MNT-002).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,Full Flow Rig,Weekly full flow 20260528150023,FFR-MNT-002,
Received,FLOWP2016 Grease,,Maintenance,Maintenance hold: Full Flow Rig — Weekly full flow 20260528152016 (Task ID: FFR-MNT-003).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,Full Flow Rig,Weekly full flow 20260528152016,FFR-MNT-003,
Received,FLOWP2016 Wipe,,Maintenance,Maintenance hold: Full Flow Rig — Weekly full flow 20260528152016 (Task ID: FFR-MNT-003).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,Full Flow Rig,Weekly full flow 20260528152016,FFR-MNT-003,
Received,FLOWP3013 Grease,,Maintenance,Maintenance hold: Full Flow Rig — Weekly full flow 20260528153013 (Task ID: FFR-MNT-004).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,Full Flow Rig,Weekly full flow 20260528153013,FFR-MNT-004,
Received,FLOWP3013 Wipe,,Maintenance,Maintenance hold: Full Flow Rig — Weekly full flow 20260528153013 (Task ID: FFR-MNT-004).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,Full Flow Rig,Weekly full flow 20260528153013,FFR-MNT-004,
Received,FLOWP4045 Grease,,Maintenance,Maintenance hold: Full Flow Rig — Weekly full flow 20260528154045 (Task ID: FFR-MNT-005).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,Full Flow Rig,Weekly full flow 20260528154045,FFR-MNT-005,
Received,FLOWP4045 Wipe,,Maintenance,Maintenance hold: Full Flow Rig — Weekly full flow 20260528154045 (Task ID: FFR-MNT-005).,rebuild,,Yes,,,2026-05-28,Located in inventory,full-flow-smoke,2026-05-28,Full Flow Supply,Yes,Full Flow Rig,Weekly full flow 20260528154045,FFR-MNT-005,
