Status,Priority,Order Opener,Preform Number,Fiber Project,Timestamp,Fiber Diameter (µm),Main Coating Diameter (µm),Secondary Coating Diameter (µm),Tension (g),Draw Speed (m/min),Required Length (m) (for T&M+costumer),Good Zones Count (required length zones),Main Coating,Secondary Coating,Notes,Desired Date,Next Planned Draw Date,Fiber Geometry Type,Tiger Cut (%),Octagonal F2F (mm),Main Coating Temperature (°C),Secondary Coating Temperature (°C),Fiber Diameter Tol (± µm),Main Coating Diameter Tol (± µm),Secondary Coating Diameter Tol (± µm),Active CSV,Done CSV,Done Description,T&M Moved,T&M Moved Timestamp,Status Updated At,Assigned Dataset CSV,Done Timestamp,Failed CSV,Failed Description,Failed Timestamp,Preform Length After Draw (cm),Length (m),Spools,Fiber name and number,Preform Name,Fiber Type,Preform Length After Draw (m),Failed Reason,Fail Try Count,Fail Try Last Time,Fail Try Dataset CSV,Furnace Temperature (°C),Preform Diameter (mm)
In Progress,Normal,OHAD,TE000,TAMAM - TIGER,2026-05-19 20:46:49.109942,40.0,83.0,105.0,20.0,50.0,500.0,1,DP-1032,DS-2015,עברית בודקים פה,,,TIGER - PM,21.0,0.0,36.0,28.0,0.6,1.0,5.0,TE000F1.csv,,,False,,2026-05-20 06:32:16,,,,,,,,,,,,,,,,,,
Done,Normal,Codex,NETQ9843,Network Smoke Project 204843,2026-05-26 20:49:28.392076,125.0,245.0,400.0,35.0,5.0,1100.0,1,UV Main,UV Secondary,Network scheduled-start smoke,,,Round,0.0,0.0,62.0,58.0,1.0,2.0,3.0,NETQ9843F1.csv,NETQ9843F1.csv,Network smoke done,True,2026-07-21 12:31:16,2026-05-26 20:49:42,NETQ9843F1.csv,2026-05-26 20:49:42,,,,123.4,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,NETQ9123,Network Smoke Project 210123,2026-05-26 21:01:58.368633,125.0,245.0,400.0,35.0,5.0,1100.0,1,UV Main,UV Secondary,Network scheduled-start smoke,,,Round,0.0,0.0,62.0,58.0,1.0,2.0,3.0,NETQ9123F1.csv,NETQ9123F1.csv,Network smoke done,True,2026-07-21 12:31:16,2026-05-26 21:02:01,NETQ9123F1.csv,2026-05-26 21:02:01,,,,123.4,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,NETQ9329,Network Smoke Project 220329,2026-05-26 22:04:08.167063,125.0,245.0,400.0,35.0,5.0,1100.0,1,UV Main,UV Secondary,Network scheduled-start smoke,,,Round,0.0,0.0,62.0,58.0,1.0,2.0,3.0,NETQ9329F1.csv,NETQ9329F1.csv,Network smoke done,True,2026-07-21 12:31:16,2026-05-26 22:04:11,NETQ9329F1.csv,2026-05-26 22:04:11,,,,123.4,,,,,,,,,,,2120.0,16.0
Pending,Normal,CODX,QA5262269,CIVAN - LARA,2026-05-26 22:57:12.974055,400.0,560.0,670.0,20.0,20.0,1111.0,1,Coating_OF_136,DS-2015,Manual browser QA deploy check,,,PANDA - PM,0.0,0.0,28.0,28.0,15.0,15.0,15.0,,,,False,,,,,,,,,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,NETQ9054,Network Smoke Project 003054,2026-05-27 00:31:32.827136,125.0,245.0,400.0,35.0,5.0,1100.0,1,UV Main,UV Secondary,Network scheduled-start smoke,,,Round,0.0,0.0,62.0,58.0,1.0,2.0,3.0,NETQ9054F1.csv,NETQ9054F1.csv,Network smoke done,True,2026-07-21 12:31:16,2026-05-27 00:31:36,NETQ9054F1.csv,2026-05-27 00:31:36,,,,123.4,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,NETQ9116,Network Smoke Project 132116,2026-05-28 13:22:32.083299,125.0,245.0,400.0,35.0,5.0,1100.0,1,UV Main,UV Secondary,Network scheduled-start smoke,,,Round,0.0,0.0,62.0,58.0,1.0,2.0,3.0,NETQ9116F1.csv,NETQ9116F1.csv,Network smoke done,True,2026-07-21 12:31:16,2026-05-28 13:22:51,NETQ9116F1.csv,2026-05-28 13:22:51,,,,123.4,,,,,,,,,,,2120.0,16.0
In Progress,Normal,Codex,FLOWP4355,Full Flow Smoke 20260528134355,2026-05-28 13:43:55.563094,125.0,245.0,400.0,35.0,5.0,1250.0,2,UV Main,UV Secondary,Full flow test 20260528134355,,,ROUND,0.0,0.0,62.0,58.0,1.0,2.0,3.0,FLOWP4355F1.csv,,,False,,2026-05-28 13:43:58,,,,,,,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,FLOWP1555,Full Flow Smoke 20260528141555,2026-05-28 14:15:55.892558,125.0,245.0,400.0,35.0,5.0,1250.0,2,UV Main,UV Secondary,Full flow test 20260528141555,,,ROUND,0.0,0.0,62.0,58.0,1.0,2.0,3.0,FLOWP1555F1.csv,FLOWP1555F1.csv,Full flow done description,True,2026-07-21 12:31:16,2026-05-28 14:16:15,FLOWP1555F1.csv,2026-05-28 14:16:15,,,,111.1,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,FLOWP2423,Full Flow Smoke 20260528142423,2026-05-28 14:24:23.034104,125.0,245.0,400.0,35.0,5.0,1250.0,2,UV Main,UV Secondary,Full flow test 20260528142423,,,ROUND,0.0,0.0,62.0,58.0,1.0,2.0,3.0,FLOWP2423F1.csv,FLOWP2423F1.csv,Full flow done description,True,2026-07-21 12:31:16,2026-05-28 14:24:43,FLOWP2423F1.csv,2026-05-28 14:24:43,,,,111.1,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,FLOWP2936,Full Flow Smoke 20260528142936,2026-05-28 14:29:36.304268,125.0,245.0,400.0,35.0,5.0,1250.0,2,UV Main,UV Secondary,Full flow test 20260528142936,,,ROUND,0.0,0.0,62.0,58.0,1.0,2.0,3.0,FLOWP2936F1.csv,FLOWP2936F1.csv,Full flow done description,True,2026-07-21 12:31:16,2026-05-28 14:30:03,FLOWP2936F1.csv,2026-05-28 14:30:03,,,,111.1,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,FLOWP4725,Full Flow Smoke 20260528144725,2026-05-28 14:47:25.237015,125.0,245.0,400.0,35.0,5.0,1250.0,2,UV Main,UV Secondary,Full flow test 20260528144725,,,ROUND,0.0,0.0,62.0,58.0,1.0,2.0,3.0,FLOWP4725F1.csv,FLOWP4725F1.csv,Full flow done description,True,2026-07-21 12:31:16,2026-05-28 14:47:48,FLOWP4725F1.csv,2026-05-28 14:47:48,,,,111.1,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,FLOWP0023,Full Flow Smoke 20260528150023,2026-05-28 15:00:23.228228,125.0,245.0,400.0,35.0,5.0,1250.0,2,UV Main,UV Secondary,Full flow test 20260528150023,,,ROUND,0.0,0.0,62.0,58.0,1.0,2.0,3.0,FLOWP0023F1.csv,FLOWP0023F1.csv,Full flow done description,True,2026-07-21 12:31:16,2026-05-28 15:00:56,FLOWP0023F1.csv,2026-05-28 15:00:56,,,,111.1,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,FLOWP2016,Full Flow Smoke 20260528152016,2026-05-28 15:20:16.540217,125.0,245.0,400.0,35.0,5.0,1250.0,2,UV Main,UV Secondary,Full flow test 20260528152016,,,ROUND,0.0,0.0,62.0,58.0,1.0,2.0,3.0,FLOWP2016F1.csv,FLOWP2016F1.csv,Full flow done description,True,2026-07-21 12:31:16,2026-05-28 15:20:48,FLOWP2016F1.csv,2026-05-28 15:20:48,,,,111.1,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,FLOWP3013,Full Flow Smoke 20260528153013,2026-05-28 15:30:13.405034,125.0,245.0,400.0,35.0,5.0,1250.0,2,UV Main,UV Secondary,Full flow test 20260528153013,,,ROUND,0.0,0.0,62.0,58.0,1.0,2.0,3.0,FLOWP3013F1.csv,FLOWP3013F1.csv,Full flow done description,True,2026-07-21 12:31:16,2026-05-28 15:30:36,FLOWP3013F1.csv,2026-05-28 15:30:36,,,,111.1,,,,,,,,,,,2120.0,16.0
Done,Normal,Codex,FLOWP4045,Full Flow Smoke 20260528154045,2026-05-28 15:40:45.544490,125.0,245.0,400.0,35.0,5.0,1250.0,2,UV Main,UV Secondary,Full flow test 20260528154045,,,ROUND,0.0,0.0,62.0,58.0,1.0,2.0,3.0,FLOWP4045F1.csv,FLOWP4045F1.csv,Full flow done description,True,2026-07-21 12:31:16,2026-05-28 15:41:06,FLOWP4045F1.csv,2026-05-28 15:41:06,,,,111.1,,,,,,,,,,,2120.0,16.0
Pending,Normal,Codex,FLOWP4928,Full Flow Smoke 20260722104928,2026-07-22 10:49:28.131194,125.0,245.0,400.0,35.0,5.0,1250.0,2,UV Main,UV Secondary,Full flow test 20260722104928,,,ROUND,0.0,0.0,62.0,58.0,1.0,2.0,3.0,,,,False,,,,,,,,,,,,,,,,,,,2120.0,16.0
