Event Type,Start DateTime,End DateTime,Description,Recurrence
Maintenance,2026-05-24 09:04:00,2026-05-24 10:04:00,Network smoke schedule 4,none
Maintenance,2026-05-20 09:00:00,2026-05-20 10:00:00,Network smoke schedule 0,none
Drawing,2026-05-21 09:01:00,2026-05-21 10:01:00,Network smoke schedule 1,none
Maintenance,2026-05-26 09:06:00,2026-05-26 10:06:00,Network smoke schedule 6,none
Drawing,2026-05-25 09:05:00,2026-05-25 10:05:00,Network smoke schedule 5,none
Drawing,2026-05-22 09:30:00,2026-05-22 11:05:00,ORDER #22 | Priority: Normal | Fiber: Network Smoke Project 220329 | Geometry: Round | Preform: NETQ9329 | Required Length: 1100.0 m | Good Zones Count: 1 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Network scheduled-start smoke,None
Drawing,2026-05-21 09:01:00,2026-05-21 10:01:00,Network smoke schedule 1,none
Maintenance,2026-05-22 09:02:00,2026-05-22 10:02:00,Network smoke schedule 2,none
Maintenance,2026-05-20 09:00:00,2026-05-20 10:00:00,Network smoke schedule 0,none
Maintenance,2026-05-26 09:06:00,2026-05-26 10:06:00,Network smoke schedule 6,none
Drawing,2026-05-23 09:03:00,2026-05-23 10:03:00,Network smoke schedule 3,none
Maintenance,2026-05-24 09:04:00,2026-05-24 10:04:00,Network smoke schedule 4,none
Drawing,2026-05-25 09:05:00,2026-05-25 10:05:00,Network smoke schedule 5,none
Drawing,2026-05-27 09:07:00,2026-05-27 10:07:00,Network smoke schedule 7,none
Drawing,2026-05-22 09:30:00,2026-05-22 11:05:00,ORDER #24 | Priority: Normal | Fiber: Network Smoke Project 003054 | Geometry: Round | Preform: NETQ9054 | Required Length: 1100.0 m | Good Zones Count: 1 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Network scheduled-start smoke,None
Maintenance,2026-05-22 09:02:00,2026-05-22 10:02:00,Network smoke schedule 2,none
Maintenance,2026-05-20 09:00:00,2026-05-20 10:00:00,Network smoke schedule 0,none
Drawing,2026-05-21 09:01:00,2026-05-21 10:01:00,Network smoke schedule 1,none
Drawing,2026-05-23 09:03:00,2026-05-23 10:03:00,Network smoke schedule 3,none
Maintenance,2026-05-26 09:06:00,2026-05-26 10:06:00,Network smoke schedule 6,none
Drawing,2026-05-25 09:05:00,2026-05-25 10:05:00,Network smoke schedule 5,none
Drawing,2026-05-27 09:07:00,2026-05-27 10:07:00,Network smoke schedule 7,none
Maintenance,2026-05-24 09:04:00,2026-05-24 10:04:00,Network smoke schedule 4,none
Drawing,2026-05-22 09:30:00,2026-05-22 11:05:00,ORDER #25 | Priority: Normal | Fiber: Network Smoke Project 132116 | Geometry: Round | Preform: NETQ9116 | Required Length: 1100.0 m | Good Zones Count: 1 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Network scheduled-start smoke,None
Drawing,2026-05-28 13:58:00,2026-05-28 15:33:00,ORDER #26 | Priority: Normal | Fiber: Full Flow Smoke 20260528134355 | Geometry: ROUND | Preform: FLOWP4355 | Required Length: 1250.0 m | Good Zones Count: 2 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Full flow test 20260528134355,None
Drawing,2026-05-28 14:30:00,2026-05-28 16:05:00,ORDER #27 | Priority: Normal | Fiber: Full Flow Smoke 20260528141555 | Geometry: ROUND | Preform: FLOWP1555 | Required Length: 1250.0 m | Good Zones Count: 2 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Full flow test 20260528141555,None
Maintenance,2026-05-28 14:36:06,2026-05-28 15:06:06,Maintenance scheduled: General — Weekly full flow 20260528141555 (Task ID: G-MNT-003).,weekly
Drawing,2026-05-28 14:39:00,2026-05-28 16:14:00,ORDER #28 | Priority: Normal | Fiber: Full Flow Smoke 20260528142423 | Geometry: ROUND | Preform: FLOWP2423 | Required Length: 1250.0 m | Good Zones Count: 2 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Full flow test 20260528142423,None
Maintenance,2026-05-24 14:44:33,2026-05-24 15:14:33,Maintenance scheduled: General — Weekly full flow 20260528142423 (Task ID: G-MNT-004).,weekly
Drawing,2026-05-28 14:44:00,2026-05-28 16:19:00,ORDER #29 | Priority: Normal | Fiber: Full Flow Smoke 20260528142936 | Geometry: ROUND | Preform: FLOWP2936 | Required Length: 1250.0 m | Good Zones Count: 2 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Full flow test 20260528142936,None
Maintenance,2026-05-24 14:49:51,2026-05-24 15:19:51,Maintenance scheduled: General — Weekly full flow 20260528142936 (Task ID: G-MNT-005).,weekly
Drawing,2026-05-28 15:02:00,2026-05-28 16:37:00,ORDER #30 | Priority: Normal | Fiber: Full Flow Smoke 20260528144725 | Geometry: ROUND | Preform: FLOWP4725 | Required Length: 1250.0 m | Good Zones Count: 2 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Full flow test 20260528144725,None
Maintenance,2026-05-24 15:07:37,2026-05-24 15:37:37,Maintenance scheduled: Full Flow Rig — Weekly full flow 20260528144725 (Task ID: FFR-MNT-001).,weekly
Drawing,2026-05-28 15:15:00,2026-05-28 16:50:00,ORDER #31 | Priority: Normal | Fiber: Full Flow Smoke 20260528150023 | Geometry: ROUND | Preform: FLOWP0023 | Required Length: 1250.0 m | Good Zones Count: 2 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Full flow test 20260528150023,None
Maintenance,2026-05-24 15:20:44,2026-05-24 15:50:44,Maintenance scheduled: Full Flow Rig — Weekly full flow 20260528150023 (Task ID: FFR-MNT-002).,weekly
Drawing,2026-05-28 15:35:00,2026-05-28 17:10:00,ORDER #32 | Priority: Normal | Fiber: Full Flow Smoke 20260528152016 | Geometry: ROUND | Preform: FLOWP2016 | Required Length: 1250.0 m | Good Zones Count: 2 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Full flow test 20260528152016,None
Maintenance,2026-06-04 15:40:37,2026-06-04 16:10:37,Maintenance scheduled: Full Flow Rig — Weekly full flow 20260528152016 (Task ID: FFR-MNT-003).,weekly
Drawing,2026-05-28 15:45:00,2026-05-28 17:20:00,ORDER #33 | Priority: Normal | Fiber: Full Flow Smoke 20260528153013 | Geometry: ROUND | Preform: FLOWP3013 | Required Length: 1250.0 m | Good Zones Count: 2 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Full flow test 20260528153013,None
Maintenance,2026-06-04 15:50:25,2026-06-04 16:20:25,Maintenance scheduled: Full Flow Rig — Weekly full flow 20260528153013 (Task ID: FFR-MNT-004).,weekly
Drawing,2026-05-28 15:55:00,2026-05-28 17:30:00,ORDER #34 | Priority: Normal | Fiber: Full Flow Smoke 20260528154045 | Geometry: ROUND | Preform: FLOWP4045 | Required Length: 1250.0 m | Good Zones Count: 2 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Full flow test 20260528154045,None
Maintenance,2026-06-04 16:00:56,2026-06-04 16:30:56,Maintenance scheduled: Full Flow Rig — Weekly full flow 20260528154045 (Task ID: FFR-MNT-005).,weekly
