Data Log
[plc]BareFibreDiaDisplay,[plc]FrnTmpMv,[plc]CpLenTareVal,[plc]UVLamp1Intensity,[plc]FrnMFC1MV,[plc]GoodFibreStartState,[plc]TrendMarkerPulse
125.090,2120.25,2.250,82.00,1.15,1,0
125.120,2120.70,2.300,82.20,1.20,1,0
125.150,2121.15,2.350,82.40,1.25,1,0
125.180,2121.60,2.400,82.60,1.10,1,0
125.000,2122.05,2.450,82.80,1.15,1,0
125.030,2122.50,2.500,82.00,1.20,1,0
125.060,2122.95,2.550,82.20,1.25,1,0
125.090,2123.40,2.600,82.40,1.10,1,0
125.120,2123.85,2.650,82.60,1.15,1,0
125.150,2124.30,2.700,82.80,1.20,1,0
125.180,2124.75,2.750,82.00,1.25,1,0
125.000,2125.20,2.800,82.20,1.10,1,0
125.030,2125.65,2.850,82.40,1.15,1,0
125.060,2126.10,2.900,82.60,1.20,1,0
125.090,2126.55,2.950,82.80,1.25,1,0
125.120,2127.00,3.000,82.00,1.10,1,0
125.150,2127.45,3.050,82.20,1.15,1,0
125.180,2127.90,3.100,82.40,1.20,1,0
125.000,2128.35,3.150,82.60,1.25,1,0
125.030,2128.80,3.200,82.80,1.10,1,0
125.060,2129.25,3.250,82.00,1.15,1,0
125.090,2129.70,3.300,82.20,1.20,1,0
125.120,2130.15,3.350,82.40,1.25,1,0
125.150,2130.60,3.400,82.60,1.10,1,0
125.180,2131.05,3.450,82.80,1.15,1,0
125.000,2131.50,3.500,82.00,1.20,1,0
125.030,2131.95,3.550,82.20,1.25,1,0
125.060,2132.40,3.600,82.40,1.10,1,0
125.090,2132.85,3.650,82.60,1.15,1,0
125.120,2133.30,3.700,82.80,1.20,1,0
125.150,2133.75,3.750,82.00,1.25,1,0
125.180,2134.20,3.800,82.20,1.10,1,0
125.000,2134.65,3.850,82.40,1.15,1,0
125.030,2135.10,3.900,82.60,1.20,1,0
125.060,2135.55,3.950,82.80,1.25,1,0
125.090,2136.00,4.000,82.00,1.10,1,1
125.120,2136.45,4.050,82.20,1.15,1,0
125.150,2136.90,4.100,82.40,1.20,1,0
125.180,2137.35,4.150,82.60,1.25,1,0
125.000,2137.80,4.200,82.80,1.10,1,0
125.030,2138.25,4.250,82.00,1.15,1,0
125.060,2138.70,4.300,82.20,1.20,1,0
125.090,2139.15,4.350,82.40,1.25,1,0
125.120,2139.60,4.400,82.60,1.10,1,0
125.150,2140.05,4.450,82.80,1.15,1,0
125.180,2140.50,4.500,82.00,1.20,1,0
125.000,2140.95,4.550,82.20,1.25,1,0
125.030,2141.40,4.600,82.40,1.10,1,0
125.060,2141.85,4.650,82.60,1.15,1,0
125.090,2142.30,4.700,82.80,1.20,1,0
125.120,2142.75,4.750,82.00,1.25,1,0
125.150,2143.20,4.800,82.20,1.10,1,0
125.180,2143.65,4.850,82.40,1.15,1,0
125.000,2144.10,4.900,82.60,1.20,1,0
125.030,2144.55,4.950,82.80,1.25,1,0
125.060,2145.00,5.000,82.00,1.10,1,0
125.090,2145.45,5.050,82.20,1.15,1,0
125.120,2145.90,5.100,82.40,1.20,1,0
125.150,2146.35,5.150,82.60,1.25,1,0
125.180,2146.80,5.200,82.80,1.10,1,0
125.000,2147.25,5.250,82.00,1.15,1,0
125.030,2147.70,5.300,82.20,1.20,1,0
125.060,2148.15,5.350,82.40,1.25,1,0
125.090,2148.60,5.400,82.60,1.10,1,0
125.120,2149.05,5.450,82.80,1.15,1,0
125.150,2149.50,5.500,82.00,1.20,1,0
125.180,2149.95,5.550,82.20,1.25,1,0
125.000,2150.40,5.600,82.40,1.10,1,0
125.030,2150.85,5.650,82.60,1.15,1,0
125.060,2151.30,5.700,82.80,1.20,1,0
125.090,2151.75,5.750,82.00,1.25,1,0
125.120,2152.20,5.800,82.20,1.10,1,0
125.150,2152.65,5.850,82.40,1.15,1,0
125.180,2153.10,5.900,82.60,1.20,1,0
125.000,2153.55,5.950,82.80,1.25,1,0
125.030,2154.00,6.000,82.00,1.10,1,1
125.060,2154.45,6.050,82.20,1.15,0,0
125.090,2154.90,6.100,82.40,1.20,0,0
125.120,2155.35,6.150,82.60,1.25,0,0
125.150,2155.80,6.200,82.80,1.10,0,0
125.180,2156.25,6.250,82.00,1.15,0,0
125.000,2156.70,6.300,82.20,1.20,0,0
125.030,2157.15,6.350,82.40,1.25,0,0
125.060,2157.60,6.400,82.60,1.10,0,0
125.090,2158.05,6.450,82.80,1.15,0,0
125.120,2158.50,6.500,82.00,1.20,0,0
125.150,2158.95,6.550,82.20,1.25,0,0
125.180,2159.40,6.600,82.40,1.10,0,0
125.000,2159.85,6.650,82.60,1.15,0,0
125.030,2160.30,6.700,82.80,1.20,0,0
125.060,2160.75,6.750,82.00,1.25,0,0
125.090,2161.20,6.800,82.20,1.10,0,0
125.120,2161.65,6.850,82.40,1.15,0,0
125.150,2162.10,6.900,82.60,1.20,0,0
125.180,2162.55,6.950,82.80,1.25,0,0
