fault_id,fault_ts,fault_component,fault_title,fault_description,fault_severity,fault_actor,fault_source_file,fault_related_draw
1779817756658,2026-05-26 20:49:16,Smoke Fault Component 1,Smoke fault 1,Fault created during network smoke test 1,medium,codex,,
1779817758022,2026-05-26 20:49:18,Smoke Fault Component 4,Smoke fault 4,Fault created during network smoke test 4,critical,codex,,
1779818506957,2026-05-26 21:01:46,Smoke Fault Component 1,Smoke fault 1,Fault created during network smoke test 1,medium,codex,,
1779818507907,2026-05-26 21:01:47,Smoke Fault Component 3,Smoke fault 3,Fault created during network smoke test 3,medium,codex,,
1779818508851,2026-05-26 21:01:48,Smoke Fault Component 4,Smoke fault 4,Fault created during network smoke test 4,critical,codex,,
1779818509796,2026-05-26 21:01:49,Smoke Fault Component 2,Smoke fault 2,Fault created during network smoke test 2,critical,codex,,
1779818510727,2026-05-26 21:01:50,Smoke Fault Component 0,Smoke fault 0,Fault created during network smoke test 0,critical,codex,,
1779822235281,2026-05-26 22:03:55,Smoke Fault Component 1,Smoke fault 1,Fault created during network smoke test 1,medium,codex,,
1779822236317,2026-05-26 22:03:56,Smoke Fault Component 0,Smoke fault 0,Fault created during network smoke test 0,critical,codex,,
1779822237415,2026-05-26 22:03:57,Smoke Fault Component 3,Smoke fault 3,Fault created during network smoke test 3,medium,codex,,
1779822238482,2026-05-26 22:03:58,Smoke Fault Component 4,Smoke fault 4,Fault created during network smoke test 4,critical,codex,,
1779822239528,2026-05-26 22:03:59,Smoke Fault Component 2,Smoke fault 2,Fault created during network smoke test 2,critical,codex,,
1779831080209,2026-05-27 00:31:20,Smoke Fault Component 0,Smoke fault 0,Fault created during network smoke test 0,critical,codex,,
1779831081233,2026-05-27 00:31:21,Smoke Fault Component 2,Smoke fault 2,Fault created during network smoke test 2,critical,codex,,
1779831082299,2026-05-27 00:31:22,Smoke Fault Component 3,Smoke fault 3,Fault created during network smoke test 3,medium,codex,,
1779831083342,2026-05-27 00:31:23,Smoke Fault Component 1,Smoke fault 1,Fault created during network smoke test 1,medium,codex,,
1779831084388,2026-05-27 00:31:24,Smoke Fault Component 4,Smoke fault 4,Fault created during network smoke test 4,critical,codex,,
1779963728783,2026-05-28 13:22:08,Smoke Fault Component 0,Smoke fault 0,Fault created during network smoke test 0,critical,codex,,
1779963730587,2026-05-28 13:22:10,Smoke Fault Component 3,Smoke fault 3,Fault created during network smoke test 3,medium,codex,,
1779963732460,2026-05-28 13:22:12,Smoke Fault Component 4,Smoke fault 4,Fault created during network smoke test 4,critical,codex,,
1779963735547,2026-05-28 13:22:15,Smoke Fault Component 2,Smoke fault 2,Fault created during network smoke test 2,critical,codex,,
1779963737266,2026-05-28 13:22:17,Smoke Fault Component 1,Smoke fault 1,Fault created during network smoke test 1,medium,codex,,
